Year,City,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson
2017,Aberdeen,"16,243",85,0,15,22,48,753,138,554,61,6
2017,Airway Heights,"8,460",11,1,1,2,7,268,31,209,28,0
2017,Algona,"3,177",2,0,0,1,1,52,14,36,2,0
2017,Anacortes,"16,838",19,0,4,0,15,470,64,386,20,2
2017,Arlington,"19,302",66,0,9,14,43,764,117,540,107,3
2017,Auburn,"78,718",376,3,64,117,192,,,"2,124",653,19
2017,Bainbridge Island,"24,635",16,0,8,1,7,265,48,210,7,2
2017,Battle Ground,"20,516",37,0,12,5,20,287,31,233,23,4
2017,Bellevue,"143,703",144,0,24,55,65,"4,175",592,"3,274",309,20
2017,Bellingham,"88,652",258,2,56,73,127,"4,151",552,"3,435",164,10
2017,Bingen,723,3,0,0,1,2,18,3,14,1,0
2017,Black Diamond,"4,422",1,0,1,0,0,30,10,20,0,0
2017,Blaine,"5,245",11,0,4,2,5,174,46,119,9,1
2017,Bonney Lake,"20,844",38,0,4,5,29,556,111,387,58,2
2017,Bothell,"45,357",49,0,13,18,18,"1,260",209,945,106,5
2017,Bremerton,"41,173",216,3,26,29,158,"1,670",264,"1,206",200,7
2017,Brier,"6,840",4,0,0,0,4,69,25,43,1,0
2017,Buckley,"5,234",6,0,2,0,4,17,8,9,0,0
2017,Burien,"51,479",,4,,74,115,"2,089",449,"1,097",543,9
2017,Camas,"22,973",13,0,4,3,6,374,70,268,36,4
2017,Carnation,"2,032",,0,,1,2,31,8,17,6,0
2017,Castle Rock,"2,228",2,0,0,1,1,40,5,33,2,0
2017,Centralia,"17,048",80,0,17,21,42,"1,041",180,746,115,4
2017,Chehalis,"7,538",17,0,1,5,11,540,66,442,32,1
2017,Cheney,"12,510",29,0,14,3,12,215,37,155,23,0
2017,Chewelah,"2,641",7,0,0,0,7,52,14,35,3,0
2017,Cle Elum,"2,895",8,0,1,2,5,92,17,72,3,0
2017,Clyde Hill,"3,316",0,0,0,0,0,19,5,12,2,0
2017,College Place,"9,198",12,0,1,0,11,253,31,202,20,3
2017,Colville,"4,805",3,0,0,0,3,130,7,118,5,0
2017,Connell,"5,656",11,0,3,1,7,24,8,15,1,0
2017,Cosmopolis,"1,593",0,0,0,0,0,23,4,18,1,0
2017,Covington,"21,001",,1,,16,13,716,104,552,60,1
2017,Darrington,"1,391",11,0,4,0,7,40,16,20,4,0
2017,Des Moines,"31,415",125,2,12,58,53,"1,151",165,744,242,8
2017,Dupont,"9,721",16,0,2,2,12,114,16,93,5,2
2017,Duvall,"7,875",4,0,2,0,2,31,4,24,3,0
2017,East Wenatchee,"14,097",17,0,4,1,12,390,40,336,14,0
2017,Eatonville,"2,994",4,0,0,2,2,60,18,36,6,0
2017,Edgewood,"10,984",13,0,0,3,10,269,95,136,38,2
2017,Edmonds,"42,197",72,0,8,24,40,927,198,658,71,7
2017,Ellensburg,"20,026",32,1,11,4,16,564,62,453,49,3
2017,Elma,"3,044",10,0,0,4,6,103,21,70,12,0
2017,Enumclaw,"11,745",10,0,4,1,5,220,19,177,24,0
2017,Ephrata,"8,086",15,0,2,4,9,418,95,301,22,0
2017,Everett,"110,040",497,5,52,131,309,"5,099",869,"3,292",938,13
2017,Everson,"4,217",1,0,0,0,1,40,2,37,1,0
2017,Federal Way,"98,014",440,7,39,170,224,"5,339",679,"3,716",944,10
2017,Ferndale,"13,757",20,1,5,4,10,289,55,210,24,0
2017,Fife,"10,264",99,1,18,32,48,740,108,471,161,1
2017,Fircrest,"6,830",13,0,1,2,10,138,36,95,7,0
2017,Forks,"3,822",10,0,3,1,6,95,16,77,2,2
2017,Gig Harbor,"9,494",19,0,5,2,12,507,50,434,23,2
2017,Gold Bar,"2,140",7,0,1,1,5,46,20,22,4,0
2017,Goldendale,"3,455",8,0,0,1,7,127,21,99,7,0
2017,Grand Coulee,"2,051",0,0,0,0,0,98,31,54,13,0
2017,Grandview,"11,203",21,0,0,0,21,173,35,110,28,1
2017,Granite Falls,"3,550",7,0,0,2,5,85,26,41,18,0
2017,Hoquiam,"8,386",13,2,2,2,7,314,52,241,21,1
2017,Ilwaco,928,1,0,1,0,0,12,2,5,5,1
2017,Issaquah,"38,592",25,1,6,8,10,"1,163",115,945,103,3
2017,Kalama,"2,509",1,0,1,0,0,33,6,23,4,0
2017,Kelso,"12,070",45,1,7,5,32,570,90,435,45,3
2017,Kenmore,"22,673",,0,,4,8,312,88,180,44,0
2017,Kennewick,"81,499",213,1,30,59,123,"2,228",307,"1,732",189,25
2017,Kent,"128,990",465,7,70,203,185,"6,928",948,"4,666","1,314",17
2017,Kettle Falls,"1,609",2,0,2,0,0,24,12,11,1,0
2017,Kirkland,"88,898",75,1,24,16,34,"2,181",231,"1,724",226,6
2017,Kittitas,"1,452",1,0,1,0,0,11,1,10,0,0
2017,La Center,"3,177",2,0,0,0,2,38,9,22,7,0
2017,Lacey,"48,597",139,2,31,28,78,"1,489",198,"1,165",126,6
