Year,City,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson
2018,Aberdeen,"16,404",85,0,15,16,54,834,159,614,61,3
2018,Airway Heights,"9,085",33,0,8,4,21,480,72,347,61,2
2018,Algona,"3,207",2,0,0,1,1,31,11,18,2,0
2018,Anacortes,"17,130",30,0,8,3,19,380,64,308,8,1
2018,Arlington,"19,394",60,0,15,8,37,662,118,473,71,1
2018,Auburn,"82,381",360,1,59,120,180,"3,334",605,"2,116",613,21
2018,Bainbridge Island,"24,739",25,1,10,2,12,242,48,188,6,2
2018,Battle Ground,"21,002",32,2,9,4,17,404,56,314,34,3
2018,Bellevue,"146,913",194,0,27,82,85,"4,294",519,"3,395",380,16
2018,Bellingham,"90,208",204,0,34,53,117,"3,346",459,"2,722",165,5
2018,Black Diamond,"4,476",0,0,0,0,0,16,3,12,1,0
2018,Bonney Lake,"21,192",33,0,10,2,21,451,77,330,44,3
2018,Bothell,"46,387",65,0,17,19,29,"1,017",165,774,78,6
2018,Brier,"6,975",3,0,0,0,3,47,9,34,4,1
2018,Buckley,"5,402",6,0,2,1,3,66,21,36,9,2
2018,Burien,"52,189",,4,,66,113,"1,900",332,"1,005",563,17
2018,Burlington,"8,839",17,0,4,5,8,705,82,584,39,0
2018,Camas,"23,865",19,1,10,2,6,219,35,169,15,1
2018,Carnation,"2,224",,0,,0,0,17,1,12,4,2
2018,Castle Rock,"2,251",3,0,1,0,2,70,10,51,9,0
2018,Centralia,"17,299",88,0,19,23,46,794,145,590,59,1
2018,Chehalis,"7,573",17,0,1,2,14,454,68,365,21,0
2018,Cheney,"12,715",43,0,18,0,25,203,55,135,13,0
2018,Chewelah,"2,643",5,0,0,0,5,33,5,26,2,0
2018,Clarkston,"7,417",17,0,5,4,8,342,70,264,8,2
2018,Cle Elum,"2,966",4,0,0,0,4,78,18,56,4,0
2018,Colville,"4,777",4,0,2,0,2,55,5,48,2,0
2018,Connell,"5,765",3,0,0,0,3,25,7,16,2,0
2018,Coulee Dam,"1,076",0,0,0,0,0,18,7,11,0,0
2018,Covington,"21,436",,1,,13,10,584,111,433,40,3
2018,Darrington,"1,414",9,0,2,0,7,28,9,13,6,1
2018,Des Moines,"31,460",111,2,11,55,43,"1,092",197,652,243,9
2018,Dupont,"9,678",31,0,4,0,27,113,15,91,7,1
2018,Duvall,"7,980",5,1,0,2,2,39,7,28,4,1
2018,East Wenatchee,"14,097",14,0,4,2,8,377,33,328,16,1
2018,Eatonville,"3,027",4,0,1,1,2,44,13,23,8,1
2018,Edgewood,"11,510",15,0,2,2,11,231,60,140,31,1
2018,Edmonds,"42,565",65,3,15,16,31,842,140,632,70,2
2018,Ellensburg,"20,616",42,0,14,5,23,601,84,489,28,5
2018,Elma,"3,089",6,0,1,0,5,82,17,58,7,1
2018,Enumclaw,"11,882",9,0,5,3,1,229,38,170,21,0
2018,Ephrata,"8,062",12,0,1,3,8,407,90,289,28,2
2018,Everett,"111,091",373,5,55,110,203,"4,683",650,"3,077",956,13
2018,Federal Way,"97,762",458,0,51,210,197,"4,480",668,"3,042",770,14
2018,Ferndale,"14,439",16,0,2,1,13,308,50,240,18,2
2018,Fircrest,"6,839",16,0,1,4,11,105,24,74,7,1
2018,Forks,"3,874",11,0,3,0,8,71,11,52,8,0
2018,Gig Harbor,"9,909",22,0,4,4,14,511,47,441,23,2
2018,Gold Bar,"2,323",2,0,0,0,2,44,20,22,2,1
2018,Goldendale,"3,496",2,0,1,0,1,57,7,47,3,0
2018,Grand Coulee,"2,047",1,0,0,0,1,79,31,38,10,0
2018,Grandview,"11,163",7,0,1,2,4,205,43,142,20,3
2018,Granite Falls,"3,634",3,0,0,0,3,73,22,45,6,0
2018,Hoquiam,"8,469",13,0,2,3,8,268,55,201,12,2
2018,Index,210,0,0,0,0,0,1,0,1,0,0
2018,Issaquah,"38,606",30,0,16,7,7,"1,357",133,"1,134",90,2
2018,Kalama,"2,737",2,0,1,1,0,40,11,28,1,0
2018,Kelso,"12,164",52,0,13,4,35,486,76,365,45,6
2018,"Kenmore,","23,219",,1,,4,5,259,58,161,40,1
2018,Kennewick,"82,687",158,3,36,35,84,"2,126",293,"1,680",153,21
2018,Kent,"129,870",452,5,92,196,159,"5,953",854,"3,949","1,150",13
2018,Kettle Falls,"1,616",4,0,0,1,3,23,12,11,0,0
2018,Kirkland,"89,805",101,0,26,17,58,"2,004",288,"1,538",178,12
2018,La Center,"3,258",2,0,0,0,2,17,2,9,6,0
2018,Lacey,"50,844",96,4,15,17,60,"1,374",190,"1,087",97,3
2018,Lake Forest Park,"13,504",14,0,5,6,3,262,37,205,20,3
2018,Lake Stevens,"33,491",63,0,20,9,34,356,76,239,41,5
2018,Lakewood,"60,694",393,9,34,80,270,"2,818",486,"1,939",393,13
